GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-mgnt,com.example.user.domain,PasswordPolicy,0,63,0,18,0,15,0,11,0,2
user-mgnt,com.example.user.utils,ResponseBuilder,3,34,0,0,1,18,1,3,1,3
user-mgnt,com.example.user.configuration,SecurityConfig,21,0,0,0,5,0,4,0,4,0
user-mgnt,com.example.user.configuration,CryptoConfig,7,0,0,0,2,0,2,0,2,0
user-mgnt,com.example.user.exceptions,ShortPasswordException,0,6,0,0,0,2,0,1,0,1
user-mgnt,com.example.user.exceptions,DuplicateRecordException,0,6,0,0,0,2,0,1,0,1
user-mgnt,com.example.user.exceptions,UserException,19,14,0,0,6,5,3,2,3,2
user-mgnt,com.example.user.exceptions,RequiredParamsException,0,6,0,0,0,2,0,1,0,1
user-mgnt,com.example.user.exceptions,WeakPasswordException,0,6,0,0,0,2,0,1,0,1
user-mgnt,com.example.user.exceptions,NotFoundRecordException,0,6,0,0,0,2,0,1,0,1
user-mgnt,com.example.user.exceptions,UserAlreadyInactiveException,0,4,0,0,0,2,0,1,0,1
user-mgnt,com.example.user.service,UserService,3,191,4,12,0,35,4,12,0,8
user-mgnt,com.example.user.entity,UserEntity.UserEntityBuilder,30,94,2,6,0,1,3,13,1,11
user-mgnt,com.example.user.entity,UserEntity,338,177,75,11,3,28,54,19,11,19
user-mgnt,com.example.user,UserMgntApplication,5,3,0,0,2,1,1,1,1,1
user-mgnt,com.example.user.controller,ExceptionController,34,45,0,0,5,8,5,8,5,8
user-mgnt,com.example.user.controller,UserController,0,32,0,0,0,5,0,5,0,5
user-mgnt,com.example.user.api,UserStatsResponseDto,63,13,8,0,4,3,10,3,6,3
user-mgnt,com.example.user.api,PagedResponse,109,46,22,0,4,15,18,5,7,5
user-mgnt,com.example.user.api,PageMeta.PageMetaBuilder,14,49,0,0,0,1,1,8,1,8
user-mgnt,com.example.user.api,ApiResponseDto.ApiResponseDtoBuilder,10,35,0,0,0,1,1,6,1,6
user-mgnt,com.example.user.api,CreateUserRequest.CreateUserRequestBuilder,10,35,0,0,0,1,1,6,1,6
user-mgnt,com.example.user.api,UserStatsResponseDto.UserStatsResponseDtoBuilder,4,14,0,0,0,1,1,3,1,3
user-mgnt,com.example.user.api,CreateUserRequest,164,50,38,0,2,8,23,11,4,11
user-mgnt,com.example.user.api,UserResponse,281,49,58,0,4,9,41,9,12,9
user-mgnt,com.example.user.api,UserResponse.UserResponseBuilder,16,56,0,0,0,1,1,9,1,9
user-mgnt,com.example.user.api,ApiResponseDto,166,31,32,0,2,6,25,6,9,6
user-mgnt,com.example.user.api,PageMeta,171,43,22,0,4,8,22,8,11,8
user-mgnt,com.example.user.api,PagedResponse.PagedResponseBuilder,6,21,0,0,0,1,1,4,1,4
